tweetcreatedts;username;text;source;tweet_clean;tweet_english;klasifikasi
26/02/2023 23:57;kesyaAna2;pasti pasti bisa menang pak prabowo jadi presiden  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;pasti pasti bisa menang pak prabowo jadi presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;surely i can win pak prabowo to become president of the presidential candidate for the election of the decades.;Positif
26/02/2023 23:57;kesyaAna2;jelas gerindra hadir memperjuangkan kepentingan rakyat maka itu menangkan prabowo presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;jelas gerindra hadir memperjuangkan kepentingan rakyat maka itu menangkan prabowo presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;obviously gerindra was present to fight for the interests of the people, so they won prabowo president of the presidential candidate for the decades of the decade.;Netral
26/02/2023 23:56;LiliFatima3;lanjutkan prabowo ini berkomitmen memperjuangkan kepentingan rakyat capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;lanjutkan prabowo ini berkomitmen memperjuangkan kepentingan rakyat capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;continue prabowo is committed to fighting for the interests of the people of the presidential candidate for the decades of the elections, then they;Netral
26/02/2023 23:56;LiliFatima3;keberhasilan prabowo sebelumnya harus di pertahankan pada  nanti capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;keberhasilan prabowo sebelumnya harus di pertahankan pada nanti capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;prabowo's previous success must be maintained in the later decade election presidential candidates.;Positif
26/02/2023 23:55;LiliFatima3;keren dulu  prabowo menang perolehan suara di sultra capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;keren dulu prabowo menang perolehan suara di sultra capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;cool first prabowo won the vote in southeast sulawesi presidential candidate for decades and then majuberbrabowo mendingprrabowo prabowo my enthusiasm;Positif
26/02/2023 23:55;kesyaAna2;dan dasco pun meminta kader untuk melakukan kegiatan bermanfaat untuk masyarakat capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;dan dasco pun meminta kader untuk melakukan kegiatan bermanfaat untuk masyarakat capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;and dasco also asked cadres to carry out useful activities for the people of the presidential candidate for decades.;Positif
26/02/2023 23:54;LiliFatima3;tentu harus terus konsolidasi di internal kader dan masyarakat untuk bisa menangkan prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;tentu harus terus konsolidasi di internal kader dan masyarakat untuk bisa menangkan prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;of course it must continue to consolidate in the internal cadres and the community to be able to win prabowo candidates for decade of decade of madubersamaprabowo.;Positif
26/02/2023 23:54;LiliFatima3;optimis kader gerindra sultra yakin dapat menangkan prabowo sebagai presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;optimis kader gerindra sultra yakin dapat menangkan prabowo sebagai presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;optimistic cadre gerindra sultra believes to win prabowo as president of the presidential candidate for decades.;Positif
26/02/2023 23:53;LiliFatima3;aku pun yakin pun yakin bisa menangkan pak prabowo jadi presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;aku pun yakin pun yakin bisa menangkan pak prabowo jadi presiden capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;i was sure that i was sure i could win pak prabowo to become president of the presidential candidate for the decade of the election.;Positif
26/02/2023 23:53;LiliFatima3;ini karena pemilih dari kalangan nahdliyin cukup dominan di jatim untuk prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;ini karena pemilih dari kalangan nahdliyin cukup dominan di jatim untuk prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;this is because the voters from the nahdliyin are quite dominant in east java for prabowo, the candidate for the decade of decades to continu;Netral
26/02/2023 23:52;LiliFatima3;jelas berpengaruh dari pak prabowo bertemu para ulama khos jatim capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;jelas berpengaruh dari pak prabowo bertemu para ulama khos jatim capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;clearly influential from pak prabowo met the ulama of the khos east java candidate for the candidate for the decade of decades, majubersamapowo, mendprabowo, prabowo, my enthusiasm;Positif
26/02/2023 23:52;LiliFatima3;nah faktor pak prabowo bisa teratas karena sudah di ingat oleh masyarakat jatim capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;nah faktor pak prabowo bisa teratas karena sudah di ingat oleh masyarakat jatim capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;well, the factor of pak prabowo can be top because it has been remembered by the people of east java, the candidate for the decade election, terbatmajubersamapowo, mendprabowo, prabowo, my enthusiasm;Positif
26/02/2023 23:51;LiliFatima3;wuih elektabilitas prabowo subianto sebesar   capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;wuih elektabilitas prabowo subianto sebesar capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;wuih prabowo subianto's electability as much as the presidential candidate for decades continues, ajubersamapowo mendingprabowo prabowo my spirit;Positif
26/02/2023 23:51;LiliFatima3;jelas terbukti di survey nama pak prabowo masih teratas soal elektabilitas capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;jelas terbukti di survey nama pak prabowo masih teratas soal elektabilitas capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;clearly proven in the survey of the name pak prabowo is still the top about the electability of the presidential candidate for decades.;Positif
26/02/2023 23:51;kesyaAna2;yuk berjuang bersama pak prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;yuk berjuang bersama pak prabowo capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;let's fight with pak prabowo, the candidate for the decade of decades to continue, the prabowo, prabowo, my enthusiasm;Netral
26/02/2023 23:50;LiliFatima3;tuh lihat nama prabowo ungguli nama capres lainnya capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;tuh lihat nama prabowo ungguli nama capres lainnya capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;see the name prabowo superior the name of the other presidential candidates for the candidate for the decade election, then majubersamaprabowo mendingprabowo prabowo is my enthusiasm;Positif
26/02/2023 23:49;LiliFatima3;mantap kemenangan prabowo adalah jalan perubahan untuk indonesia lebih baik capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;mantap kemenangan prabowo adalah jalan perubahan untuk indonesia lebih baik capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;great prabowo's victory is the way of change for indonesia, it is better for the presidential candidate for decades to continu;Positif
26/02/2023 23:49;LiliFatima3;ini inisiatif baik dari prabu sutra mendukung pak prabowo dalam pilpres  capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;Twitter for iPad;ini inisiatif baik dari prabu sutra mendukung pak prabowo dalam pilpres capres pemilu dekade terusmajubersamaprabowo mendingprabowo prabowo semangatku;this is a good initiative from prabu sutra supporting pak prabowo in the presidential election of the presidential candidate for decades.;Positif
