text,klasifikasi
ababil garislucu selamat ikn kak woohooooo,positif
ikn transportasi kereta bangun,negatif
lanjut ikn program unfaedah,negatif
persija main jis tim nasional main ikn gelora karno sepi bang tanding sepak bola berita konser minggu,negatif
saewad masuk skala prioritas bangun jiwa akhlak bangsa adab ikn bangun infrastruktur mudah,positif
kaca pulau reklamasi ab figur alam kembali daulat negara penting rakyat niat busuk cukong oligarki makelar kaki tangan proyek ikn,positif
twit ikn k view,positif
pahampemindahan ikn strategi partai komunis cina belah indonesia bagianindonesia timur jadi koloni sda jakarta biar ikn indonesia baratsejarah ulang memisahakn singapura,negatif
salah orang anies level bangun iknterlalu berat bahas lanjut bangun ikn anies presiden,negatif
base jakarta kantor esmelon nya jakarta menteri masuk prioritas ikn dilibatin ikn,positif
ikn indonesia maju,positif
ikn beban masyarakat,negatif
pilih tunda ikn jalan,negatif
saewad dannyusahin rakyat ikn gagas,positif
anies lanjut ikn jakarta beres kain hitam banjir lebar mana sumur resap korban roda roda sulit jalan onder dil rusak,negatif
saewad partai demokrasi indonesia juang lupa ya pimpin menang pilih kepala daerah sah ganti program gubernur ikn prioritas prioritas pro rakyat penuh ekonomi kuat didik murah sehat jangkau,negatif
manfaat ikn rakyat sebut manfaat,positif
umbi salah ide bagus alam pernh dikalimantan sklipun ikn mandi hari mandi pakai air galon cuci baju putih pakai air galon pakai air jamin ubah butek,negatif
oh ikn selesai ya,positif
saewad bangun ikn susah rakyathutang gunung bikin iknbikin pos hansip butuh biaya,negatif
ikn lahan korupsi rezim jokowi,negatif
siap ikn ya,positif
saewad ikn mau rakyat,positif
saewad takut anies pilih skenario buka partisipasi publik ikn terus timbang asas kedayagunaan amp kehasilgunaan,negatif
wacana mutasi ikn,negatif
ikn keren kalimantan keren ayo kalimantan dukung henti ikn kalimantan mercusuar indonesia,positif
saewad analisa sisi geologi ikn kalimantan pilih baik analisa geopolitik wilayah kait perang ikn pilih baik ekonomi negara ikn manfaat,positif
ekonomi indonesia pulih ikn nusantara,positif
badan usaha milik negara karya lilit utang jokowi paksa bangun ikn covid kamis maret tinggal formula e jeep toyota jepang sirius twitter blok maghrib malam jumat malam jumat,negatif
sempat karya ikn aparatur sipil negara kabupaten sultan,positif
anies bicara ikn undang undang tugas lantik laksana undang undang,positif
saewad manfaat ikn asa wilayah indonesia kota banjir,positif
tertawa yuk manusia tinggi ngomongin ikn haha sumur resap kelas,positif
ikn keren,positif
manfaat ikn rakyat indonesia,positif
bangun ikn bangun ebt,positif
bang biar mutasi ikn bang,positif
andai paksa pilih proyek perintah beda zaman pilih a terus hambalang bb terus ikn,negatif
ikn bawa soto sokaraja aneh aneh pikir ya orang suka soto sokaraja terima sih mahakarya nikmat soto sokaraja,positif
realita bangun ikn mustahil duit,positif
uunya ubah ikn markas pssi tim nasional plus an monggo,positif
kasad tentara nasional indonesia lindung aman ikn center of gravity abdurachman dar ar angkatandarat,positif
ikn,positif
ikn rusak hutan,positif
kasad perintah tentara nasional indonesia jamin aman ikn,negatif
ikn masalah,negatif
gill sb is dor rah a wi bajwa hai lekin indonesia wali,positif
tuju pilih tunda proyek ikn tuntas proyek kereta cepat tundas orang libat korupsi takut jokowi tiidak presiden takut ciduk komisi berantas korupsi biar cina bebas keruk sumber daya alam indonesia,negatif
hormat tahu undang undang ikn bentuk laksana serah presiden,positif
konsisten nomor bacot kereta cepat bra triliun rakyat menamggung beban jabat mentereng lokal otak putar jakarta kritik moto gp kretacepat ikn,negatif
penting memang partai demokrasi indonesia ikn lanjut baubau beres,negatif
angkasa pura logistik balikpapan dukung bangun ikn nusantara,positif
bagus usaha mikro tengah bantu ikn,negatif
presiden nya lanjut ikn kota rencana orde bentuk laksana nya beda prioritas kondisi negara sulit uang hajat hidup perut rakyat pikir,negatif
samosir ikn selesai ya tumpuk cuci kotor selesai,negatif
ikn anies undang undang laksana,positif
ikn tinggal rumah tenda,negatif
khayal lagiselama daerah khusus kota jakarta bukti apagitu sok bicara proyek kelas iknproyek amp gagal total rumah uang muka amp bebas lahan ciliwung bicara konsisten singapura kritik ikn amp dukung ikn,negatif
bravob ikn finish,positif
maksud ikn mobil esemka,positif
sekretariat jenderal partai demokrasi indonesia juang anies lanjut program ikn pilih presiden,negatif
jade culture shock ikn nongkrong nyaman ala jakarta,positif
change and continuity ubah lanjut nilai ikn nilai lanjut henti,positif
ikn pindah kota kota biaya mahal pindah menteri pegawai dewan wakil rakyat ri kantor duta,negatif
hidup indonesia mau jokowi joko widodo jarang kantor tempat tinggal istana daerah khusus kota jakarta demo bikin ikn wilayah rawan najam passer mulia milyar periode ya usaha utang bayar,negatif
anies baswedan buka suara proyek kota negara ikn nusantara lanjut proyek pilih presiden,negatif
anies baswedan salah kandidat unggul presiden kamis janji wujud ambisi presiden joko widodo bangun kota ikn nila miliar menang pilih,positif
skenario tambang nikel pulau malu sulawesi bangun ikn food estate singkong buka hutan,positif
program ya ngapaen terus buat ikn urgensinua objektif program ikn investor asing eggan proyek ikn,positif
tunggu ikn biar murah wkwk,positif
ikn lanjut uang sombong ya lupa partai demokrasi indonesia juang rakyat,negatif
iknwdr,positif
ikn bangun rakyat butuh ikn rakyat butuh perintah kerja rakyatbersih kkn sejahtera rakyat indonesia,negatif
nyata ikn ccachmadiajaasmaraidhagatotchua,positif
mas anies batalin ikn,positif
tujuh anies lanjut ikn presidenkrn langsung program rusak hutan kalimantan,positif
perintah pusat sanggup bangun ikn serah wenang perintah provinsi kalimantan timur sedia sanggup perintah provinsi kalimantan sedia,positif
ikn hutan bukit jurang environmental study studi layak paksa ambisi pribadi ikn feasible dati segi apa duit bangun kecuali utang utang gadai generasi terus,negatif
sih anjing ahemang bikin ikn kerja langsung kerja arahanbicara awal bicara sikap pimpin bgtubicara arah tuju tugas bawah eksekusi ngartiapa dungu permanen,negatif
ikn guna utang negara gunung gunung,negatif
program ikn utama program sejahtera rakyat baik hukum tuntas miskin,negatif
menteri hubung kaji jalur kereta api kota negara ikn kalimantan timur,negatif
ralat rakyat tanggung ongkos pindah pegawai negeri sipil keluarga ikn,positif
bangun tol ikn bro,positif
nyata ikn ccachmadiajaasmaraidha,positif
masyarakat indonesia bangga bangun ikn nusantara,positif
jokowi canang calon ikn tuan rumah olimpiade,positif
menpan ribu simulasi pindah aparatur sipil negara ikn nusantara,negatif
otot ikn,negatif
ikn tingkat ekonomi,positif
dukung ikn maju indonesia,positif
anies takdir pilih harap prioritas sejahtera rakyat beri subsidi buru aset negara koruptor amp penyalahgunaan jabat satu anak bangsa amp rencana gbhn ikn buang laut,negatif
ikn nusantara dampak positif,positif
dukung ikn tingkat ekonomi,positif
potret bangun ikn,positif
mang banget ikn banding sejahtera rakyat orang cilik mu,positif
pilih kupang ketimbang ikn,negatif
anies lanjut ikn partai demokrasi indonesia juang dukung presiden jegal,positif
goals cptcpt selesai skripsi kerja tabung tonton nadin tanah jawa alias prambanan jazz double tiket nya pesawat tiket tonton konser banget anak kalimantan ya sebentar ikn,negatif
dokter tifa masyarakat pindah ikn kecuali jilat,negatif
indonesia ikn ikat kaum tipu,negatif
ramai isu aparatur sipil negara berat pindah kota nusantara ikn amat bijak publik ugm rissalwan habdy lubis aku pesimis lanjut bangun ikn pasca presiden pilih,negatif
ikn dada sesuai bicara soekarno,positif
harga kerja diri bangsa bangun kota jakarta ikn awas kualat,negatif
usaha jepang ragu mari investasi ikn,negatif
heyy tony blair jajar ikn,positif
ababil garislucu nodin esmelon nama orang pindah ikn salah satu jajak minat,positif
lowong kerja internal site ikn das,positif
menteri kerja rumah rakyat bangun rumah jabat menteri ikn progres kini bangun rumah menteri,positif
partai demokrasi indonesia juang ragu anies lanjut ikn presiden hasto objektif jakarta program jokowiahok lanjut,negatif
ikn bangkit ekonomi,negatif
ikn sejahtera usaha mikro tengah,negatif
mantap ikn tingkat ekonomi,positif
mantap ikn dampak positif,positif
ikn kereta cebong jktbandung,negatif
kondisi ikn,positif
tanggung tunda tahun ikn selesai,positif
anggar habis bikin ikn jalan tol mana,positif
bangun jembatan propinsi bangun ikn manfaat amp sudut pandang,positif
pindah buka ikn,negatif
jakarta sejarah ikn sejarah pendek dada bicara berani kerdil jakarta,negatif
endorse esemka kereta api cepat jakarta bandung bandara kerta jati ikn ijazah abu abu perilaku harun mas menteri sosial sambo kecewa euy,positif
ikn chuakzzz,positif
indenpeden teliti tentantang partai rakyat adil makmur partai partai jegal calon presiden muncul penuh dukung rakyat kelompok calon presiden suka rakyat jegal selesai ikn,positif
kasad jenderal tentara nasional indonesia dudung abdurachman tentara nasional indonesia diri kodam khusus lindung aman kawasan ikn nusantara kalimantan timur kodam khusus sengaja bangun kuat tahan negara lantai,positif
an dasar kena pajak pilot tello militan fathur saewad jokowi rezim peduli pura tau alias bodoh ikn guna bela in cari pinjam triliun,negatif
rumit ikn otot,negatif
ababil selfy nampaknya mampir balikpapan isi sultan jarak ikn tol,negatif
man ikn my,negatif
calon presiden berani janjiin revisi ikn pakai atur perintah ganti undang undang pergi moratorium mekar provinsikota suara nih,positif
urgensi bikin ikn ya duit,positif
ikn ilalang hutan blantara,positif
orang dungu otot pindah ikn,negatif
ikn ya bang,positif
tentara nasional indonesia bangun kodam khusus nusantara ikn ksad dudung abdurachman,positif
ysf kereta bandara tol awal jaka zaman orde zaman emas republik indonesia rezim bikin bikin jalan tol lelang bikin bandara fungsi bikin kereta cepat ancam mangkrakbangun ikn jekas lanjut,negatif
meeting client pj ikn berita ikut orang malaysia,negatif
sikap anies baswedan nasib ikn,positif
makann ikn ku,positif
calon presiden koalisi ubah anies baswedan bicara nasib kota negara ikn nusantara pilih presiden,positif
jalur ikn,negatif
partai demokrasi indonesia juang ngomongbenci anies silahkanadapun ikn lanjut anies presiden skala prioritas guna anggar danamengingat hutang indonesia capai rupiah triliunbelum,negatif
jokowi ajak investor hongkong dukung bangun ikn,positif
keren ikn tingkat ekonomi,positif
syarat presiden sih lanjut ikn,positif
bahagia sederhana nama nota dinas ikn bahagia,positif
hsto nihtlg manfaat ikn rakyat terima kasih,positif
beban negara berat batal proyek ikn sedot uang negara proyek kota nusantara mamfaat nya rakyat indonesia,negatif
ri presiden kalimat apa sibuk inap ikn bangun ya mentalitas tukang ya,negatif
tunda taun ikn nya tunda mohon,negatif
rumit duit habis korupsi amp ikn,negatif
maaf warung kopi lokal ikn pepet starbucks,negatif
perata cocok ikn bangun papua,positif
putus adil negeri ikn,negatif
nya ikn dada,positif
perhati diam sibuk kejar ikn nih iya,negatif
kali bangun kereta cepat ikn gerak cepat sih pinokio,negatif
kemenhub ungkap rencana bangun jalur kereta kota negara ikn nusantara kaji lengkap,negatif
kemarin bicara bangun manusia infastruktur ikn,positif
ikn langkah indonesia maju,positif
memang partai adil sejahtera demokrat tuju ambil hati orang dengar tanggap partai adil sejahtera demokrat ikn,positif
ikn itukebaikan bangsa indonesia,positif
presiden anies pasti patuh undangundang lanjut bangun ikn,positif
salah ketik,negatif
